,full_path,file_name,lines_of_code,lines_of_text,verb_count,wccs,avg_wcc_size,code_text_ratio,quartile
0,../reproducibility-notebooks/00/d7210247e293c29382761059c34c48113f0e4f/notebook/data-load-samples/Load from DashDB - Python.ipynb,Load from DashDB - Python.ipynb,658,982,18,"[{'table', 'props', 'jdbcurl', 'SQLContext', 'sqlContext', 'dashdb_data', 'sc'}, {'user'}, {'password'}]",3.0,-324,Q1
1,../reproducibility-notebooks/00/99cefef94d4d82d5d4cc3a2c5d9ecaa7904036/Python-for-Data-Analysis/NumPy/Numpy Exercise - Solutions.ipynb,Numpy Exercise - Solutions.ipynb,1129,1150,40,"[{'mat', 'np'}]",2.0,-21,Q1
2,../reproducibility-notebooks/00/a9e953992cff7d0477d4a1f61096273b9d7738/gan_mnist/Intro_to_GANs_Exercises.ipynb,Intro_to_GANs_Exercises.ipynb,5724,10714,186,"[{'input_z', 'g_loss', 'input_size', 'g_hidden_size', 'batch', 'np', 'losses', 'gen_samples', 'd_loss', 'alpha', 'input_data', 'mnist', 'batch_images', 'train_loss_d', 'batch_size', 'f', 'samples', 'pkl', 'sess', 'input_real', 'train_loss_g', '_', 'd_train_opt', 'batch_z', 'generator', 'g_train_opt', 'z_size', 'view_samples', 'sample_z'}, {'d_hidden_size'}, {'smooth'}, {'epochs'}, {'tf', 'saver', 'g_vars'}, {'img', 'ax', 'im'}]",6.333333333333333,-4990,Q1
3,../reproducibility-notebooks/00/1a211a1b9741895140c43192316c00a8d82793/Chapter_10.ipynb,Chapter_10.ipynb,1468,618,23,"[{'set_4', 'set_2', 'set_3', 'np', 'set_5', 'set_1'}, {'axes', 'plt', 'fig'}]",4.5,850,Q2
4,../reproducibility-notebooks/00/92ce55d75f03bbf57ddc6b3381fe8a169ed9fe/tensorflow-tutorial/Chapter05/1. MNIST读取数据.ipynb,1. MNIST读取数据.ipynb,572,267,5,"[{'mnist', 'input_data'}, {'batch_size'}]",1.5,305,Q2
5,../reproducibility-notebooks/00/94f1d9cf9d9a95285bfd13bb5e0d058bf5e3b9/test/TestCenterline/TestCenterline.ipynb,TestCenterline.ipynb,964,54,16,"[{'clw2', 'yy', 'y', 'cl2', 'x', 'np', 'width', 'x1', 'xx', 'Centerline', 'y1', 'cl', 'x0', 'y0', 'clw', 'npoints'}]",16.0,910,Q2
6,../reproducibility-notebooks/00/6e26b510c5d9fa82d2cc3b8ab09cb38f32a70b/Numerical Analysis/least sqaure/Numerical Analysis - Assignment 1.ipynb,Numerical Analysis - Assignment 1.ipynb,3540,1619,77,"[{'errors', 'b_gauss', 'x_2', 'eq0', 'x_range', 'eq1', 'np', 'A', 'E', 'eq2', 'b2', 'b_eq1_line', 'residual2', 'eps_exp', 'normal_b1', 'E_gauss', 'eps', 'exact_sol', 'M', 'x1', 'b_eq0_line', 'normal_b2', 'b', 'a_eq1_line', 'err', 'list', 'sol', 'normal_A', 'residual1', 'x2', 'x_1', 'b_eq2_line', 'a_eq0_line', 'a_eq2_line', 'b1'}, {'k', 'range_k', 'range'}]",19.0,1921,Q3
7,../reproducibility-notebooks/00/5a79178210a169df82dd174a2b3319028678ad/k_means sur Mnist (0 & 1).ipynb,k_means sur Mnist (0 & 1).ipynb,1762,9,23,"[{'mnist', 'X', 'fetch_mldata', 'pd', 'rects1', 'means_false', 'df_mnist', 'plt', 'y', 'bar_width', 'df_1', 'index', 'means_guido', 'means_accurate', 'df', 'opacity', 'rects2', 'df_0'}, {'itr'}, {'k'}, {'n_groups'}]",5.25,1753,Q3
8,../reproducibility-notebooks/00/fb72f4f99e193f7bf6630e7a7f1aa92e50be10/notebook/A_Combine_Data.ipynb,A_Combine_Data.ipynb,2405,440,36,"[{'EvaluatedMetadata', 'QuickE', 'tupleList', 'widgets', 'w2', 'sorted', 'w4', 'Occurrence', 'w3', 'w1'}]",10.0,1965,Q3
9,../reproducibility-notebooks/00/46a5181040b5ac1ee5b54a86bbd658e4458bae/dk_shipping_stock/archive/.ipynb_checkpoints/dk_shipping_stock_180501-checkpoint.ipynb,dk_shipping_stock_180501-checkpoint.ipynb,17198,3633,172,"[{'dirs'}, {'url'}, {'ts_non_eca_Ttkm', 'width_short', 'filename', 'np', 'long', 'asfc', 'ax', 'short_limit', 'trans_cargo_est', 'dis_dict', 'rows', 'cargo_dst', 'cargo_short', 'pd', 'est_grouped', 'cargo_est', 'limit', 'dis', 'est_sorted', 'rc_dict', 'bar_data', 'trans_pp', 'cargo_est_dict', 'fuel_cons', 'filepath', 'trans_rc', 'est_lbk', 'fc_non_eca_PJ', 'trans_cargo_dst', 'fc_eca_PJ', 'short', 'os', 'continental', 'ts_short', 'rep_dict', 'width_long', 'dst', 'ts_eca_Ttkm', 'trans_rep', 'cargo_long', 'par_dict', 'ts_long', 'list', 'est', 'trans_par', 'est_cols', 'cargo_dst_dict', 'pp_dict'}, {'country_filter'}, {'fuel_cons_dk_2016'}, {'eca100'}, {'arrow_width'}]",7.714285714285714,13565,Q4
