,full_path,file_name,lines_of_code,lines_of_text,verb_count,wccs,avg_wcc_size,code_text_ratio,quartile
0,../reproducibility-notebooks/00/0854decbdd05a329a9cce2fc3aa449698e2768/While loops.ipynb,While loops.ipynb,768,2111,13,[],0.0,-1343,Q1
1,../reproducibility-notebooks/00/89857aeaf2ffca6b3ea21bf69ea23fd8356111/regression/.ipynb_checkpoints/Untitled4-checkpoint.ipynb,Untitled4-checkpoint.ipynb,0,0,0,[],0.0,0,Q1
2,../reproducibility-notebooks/00/91eeda481190f090d3d9fb8c222d1961732648/Week3/ex1.ipynb,ex1.ipynb,274,0,0,"[{'word', 'SparkContext', 'x', 'file_name', 'len', 'word_map', 'sc'}]",7.0,274,Q1
3,../reproducibility-notebooks/00/10d3e425a8e560a93d47cdfae1e2a67a412d4a/Pandas-Exercises/04_Apply/.ipynb_checkpoints/Exercises4-checkpoint.ipynb,Exercises4-checkpoint.ipynb,0,925,23,[],0.0,-925,Q2
4,../reproducibility-notebooks/00/87d6ca2c414d083309c82f24b610da6cb87ccc/notebook/20161115_importData.ipynb,20161115_importData.ipynb,3366,130,46,"[{'INPATTERN'}, {'OUTFORMAT', 'plt', 'ymin', 'outpattern', 'yoffset', 'filename', 'ymax', 'image', 'xmax', 'basename', 'img', 'os', 'xmin', 'xoffset', 'dirname'}, {'xoffsets'}, {'yoffsets'}]",4.5,3236,Q2
5,../reproducibility-notebooks/00/c357f0c9623ab3084ddd1fb78c64add7c2ab64/projects/practice_projects/cnn/mnist-mlp/mnist_mlp.ipynb,mnist_mlp.ipynb,2859,664,41,"[{'i', 'ax', 'plt', 'fig'}, {'img', 'thresh'}, {'Sequential', 'np_utils', 'accuracy', 'y_train', 'ModelCheckpoint', 'X_train', 'X_test', 'y_test', 'model', 'hist', 'score', 'checkpointer'}]",6.0,2195,Q2
6,../reproducibility-notebooks/00/ac9be355f0471ea35fc5d6594338c08c86c841/src/splitXgBootst.ipynb,splitXgBootst.ipynb,10035,0,97,"[{'is_valid'}, {'directories', 'y', 'test_columns', 'lines', 'np', 'pred', 'test', 'subtrainname', 'y1', 'ip_count', 'path', 'dt', 'y2', 'datetime', 'iteration', 'subpath', 'pd', 'dtest', 'picpath', 'range', 'skiplines', 'str', 'almostone', 'skiprows', 'subtrain', 'logit', 'subname', 'sub', 'xgb', 'modelpath', 'nrow_train', 'nDimSample', 'output', 'modelname', 'x1', 'model', 'timeFeatures', 'train_columns', 'input', 'dtraintest', 'params', 'dvalid', 'dtrain', 'x2', 'almostzero', 'dtypes', 'watchlist', 'merge', 'train'}, {'start_time', 'time'}, {'subfilenames'}, {'modelfiles'}, {'count'}, {'tag'}, {'linear_model', 'clf'}]",7.25,10035,Q3
7,../reproducibility-notebooks/00/8c55d4cae6324874b7a316b39f3b383bf78b58/Basics.ipynb,Basics.ipynb,6471,951,77,"[{'DataFrame', 'close_px', 'np', 'get_beta', 'read_csv', 'Series', 's1', 'grouped', 'range', 'randn', 'x', 'n', 'index', 'mapping', 'DateRange', 'df2', 'hdf', 'rets', 'beta_by_ym', 'tuples', 'model', 's', 'sm', 'MultiIndex', 'columns', 'zip', 'df', 'foo', 'labels', 's2'}, {'data'}]",15.5,5520,Q3
8,../reproducibility-notebooks/00/12db98d593c772e04fe551d3e3d4de87743a90/02-Python Statements/01-Introduction to Python Statements.ipynb,01-Introduction to Python Statements.ipynb,0,2213,54,[],0.0,-2213,Q3
9,../reproducibility-notebooks/00/37f8a7e5914d0d4408a47e37e433f0c138da97/PrisonersDilemma/experiment3/Experiment-2015-11-30.ipynb,Experiment-2015-11-30.ipynb,29446,84477,486,"[{'self', 'Strategy', 'S', 'rst'}, {'TestStrategies', 'suite', 'unittest'}, {'Strategy5', 'ts_length', 'float', 'max_ts', 'Strategy24', 'pd', 'ALLD', 'prob', 'MyStrategy', 'stds', 'averages', 'PubStrategy', 'rounds', 'int', 'Self_Centered_perfect', 'Strategy15', 'sigma', 'OyamaImperfectPrivateMonitoring', 'old_s', 'Strategy1', 'Strategy6', 'bp', 'np', 'private_signal', 'pl', 'ImPrivStrategy', 'ax', 'str', 'Iida_ipm', 'payoff', 'Strategy4', 'upper_b', 'beeleb', 's', 'lower_b', 'Strategy14', 'seed', 'Strategy9', 'Strategy3', 'Iida_iprm', 'size', 'OyamaImperfectPublicMonitoring', 'yamagishi', 'Iida_pm', 'Strategy10', 'rs', 'Strategy19', 'Strategy20', 'Strategy12', 'ogawa', 'average_matrix', 'Strategy2', 'df_t', 'range', 'Strategy16', 'Strategy13', 'discount_v', 'width', 'game', 'GrimTrigger', 'Self_Centered_public', 't_list', 't', 'average', 'Strategy7', 'public_signal', 'strategies', 'WSLS', 'trimmed_ts_length', 'ImPubStrategy', 'Strategy18', 'Strategy23', 'Strategy17', 'Strategy8', 'ordered_df', 'x', 'OyamaPerfectMonitoring', 'Strategy22', 'mu', 'Strategy11', 'KatoStrategy', 'p', 'i', 'ranking', 'Self_Centered_private', 'TFT', 'df', 'Strategy21', 'random_state', 'average_list'}, {'repeat'}, {'pattern'}, {'signal_probs'}, {'hist'}, {'total'}]",12.75,-55031,Q4
