,full_path,file_name,lines_of_code,lines_of_text,verb_count,wccs,avg_wcc_size,code_text_ratio,quartile
0,../reproducibility-notebooks/00/9c613f232463e8fb859ffa3da9a6e04f3114eb/Skripsi- Parsing Engine.ipynb,Skripsi- Parsing Engine.ipynb,1961,899,15,"[{'db', 'link'}, {'feeds'}, {'dummy'}, {'d', 'pos'}]",1.5,1062,Q1
1,../reproducibility-notebooks/00/16e40408d34dd2adc76db33d0f8c943decaf8d/Social-Media-Analytics/Twitter/Location-Retrieval/twitter_locator.ipynb,twitter_locator.ipynb,753,0,6,"[{'consumer_key', 'consumer_secret', 'auth', 'tweepy', 'api'}, {'access_token'}, {'access_token_secret'}, {'users'}, {'count'}, {'locations'}]",1.6666666666666667,753,Q1
2,../reproducibility-notebooks/00/0eaf8f535c9b8f408649a1442d3d2ca85562e5/.ipynb_checkpoints/ScifiCons-checkpoint.ipynb,ScifiCons-checkpoint.ipynb,1473,176,27,"[{'rows', 'ufile', 'matches', 'urllib', 'table', 'soup', 'BeautifulSoup', 'tabmatch', 'str', 'newtext', 'url', 'match1soup'}, {'DataFrame', 'data', 'df'}, {'row', 'colsraw', 'ele', 'elem', 'cols'}, {'matchsoup'}, {'con'}, {'place'}, {'country'}, {'contype'}, {'website'}, {'dateheld'}]",2.7,1297,Q1
3,../reproducibility-notebooks/00/ac9be355f0471ea35fc5d6594338c08c86c841/src/.ipynb_checkpoints/LightgbmRF_From1-checkpoint.ipynb,LightgbmRF_From1-checkpoint.ipynb,10208,0,60,"[{'debug'}, {'lgb', 'evals_results', 'predictors', 'metrics', 'num_boost_round', 'feval', 'dvalid', 'bst1', 'dtrain', 'early_stopping_rounds', 'target', 'xgtrain', 'lgb_params', 'xgvalid', 'ax', 'categorical_features', 'objective', 'bst'}, {'dtypes'}, {'subt', 'pd', 'usecolstest', 'paths', 'train_df', 'test_df', 'val_df', 'ftrain', 'fvalid', 'sub', 'usecols', 'ftest', 'click_id'}, {'categorical'}, {'start_time', 'time'}, {'params'}, {'dt', 'fname', 'datetime'}, {'pathlist'}]",4.555555555555555,10208,Q2
4,../reproducibility-notebooks/00/3fb8d8c87aa72f1bce095d1fae75e37a6a69b8/training_dataframes/qb_career_training_df.ipynb,qb_career_training_df.ipynb,2157,0,16,"[{'pd', 'df1', 'create_career_dataframe', 'team_stats', 'raw_qb_2012', 'new_df', 'qb_career_2012', 'df3', 'columns', 'df'}, {'points'}, {'total'}]",4.0,2157,Q2
5,../reproducibility-notebooks/00/535c8b2755643711803c1566238dc69e5845f3/ipynb/01-sampling_method.ipynb,01-sampling_method.ipynb,1538,211,34,"[{'pandas', 'dataset', 'names', 'sample_1pct_2', 'sample', 'url', 'stats', 'sample_1pct_1', 'sample_10pct_1'}, {'sample_means', 'np'}]",5.5,1327,Q2
6,../reproducibility-notebooks/00/886a549fb53a392085cc7e7ec2d337552aa5b7/.ipynb_checkpoints/Collaborative Filtering-checkpoint.ipynb,Collaborative Filtering-checkpoint.ipynb,17079,0,153,"[{'dataframe_index_unseen', 'line', 'kmeansitempred', 'float', 'ys', 'y_upper', 'pd', 'user_similarity1', 'j', 'sample_silhouette_values', 'item_distance', 'int', 'KMeans', 'y_lower', 'moviepreddf_spectral', 'set', 'my_ints1', 'top_k_users', 'colors', 'item_bias', 'kmeansuserpred', 'dataframe', 'clusterlabelist', 'top_k_items', 'size_cluster_i', 'np', 'silhouette_score', 'user_id', 'userpred', 'item', 'C', 'my_ints', 'similarity', 'item_similarity1', 'kmediodsitempred', 'pairwise_distances', 'getclusterlabels', 'dataframe_index', 'SpectralClustering', 'user_bias', 'moviepreddf_traditional', 'df1', 'id', 'moviepreddf_kmediods', 'train_data', 'predict_topk_nobias', 'indices', 'predict_nobias', 'ratings', 'traindf', 'spectraluserpred', 'k', 'item_similarity2', 'movieCluster1', 'clusterlabel', 'color', 'silhouette_avg', 'l', 'pca', 'NearestNeighbors', 'a', 'n_items', 'user_distance', 'PCA', 'pred', 'n_users', 'nbrs', 'x', 'label', 'cm', 'titles', 'pca_2d', 'i', 'names', 'n_cluster', 'info', 'moviepreddf_kmeans', 'df', 'silhouette_samples', 'user_similarity2', 'b', 'kmediodsuserpred', 'actual', 'ith_cluster_silhouette_values'}, {'k_array'}, {'kmediodsuser_test'}, {'kmediodsuser_train'}, {'kmeansuser_test'}, {'kmeansuser_train'}, {'spectraluser_test'}, {'spectraluser_train'}, {'kmediodsitem_test'}, {'kmediodsitem_train'}, {'kmeansitem_test'}, {'kmeansitem_train'}, {'pal', 'sns'}, {'idx_to_movie'}]",7.0,17079,Q3
7,../reproducibility-notebooks/00/8c8b370872fc15992a231514465a72c1b43984/.ipynb_checkpoints/acumentest-checkpoint.ipynb,acumentest-checkpoint.ipynb,3316,0,30,"[{'people6', 'pd', 'formula', 'plt2', 'mnVar', 'acumen', 'acumen3', 'link', 'str', 'plt1', 'mdVar', 'people12', 'LinRegEPI', 'people1', 'people', 'smf', 'acumen2'}, {'symbolsForNA'}, {'byeColumns'}]",6.333333333333333,3316,Q3
8,../reproducibility-notebooks/00/db9b41fb4ee18083df3093428f732ee106299a/ml-foundations/Week 3/Analyzing Product Sentiment.ipynb,Analyzing Product Sentiment.ipynb,5056,638,65,"[{'giraffe_reviews', 'selected_words_model', 'test_data', 'products', 'sentiment_model', 'train_data', 'graphlab', 'diaper_reviews', 'selected_words'}]",9.0,4418,Q3
9,../reproducibility-notebooks/00/5db9dbda0eb3fd1fbe9d926826bb5a53a21b89/09/data/.ipynb_checkpoints/CNN-checkpoint.ipynb,CNN-checkpoint.ipynb,3442,485,35,"[{'l2', 'Model', 'n_classes', 'np', 'history', 'l1', 'X_train', 'pred', 'Input', 'Dense', 'temp_to_plot', 'l5', 'dim_0', 'array', 'l4', 'Y_test', 'batch_size', 'height', 'l3_mp', 'Y_train', 'Flatten', 'Convolution2D', 'l3', 'build_grid_of_images', 'MaxPooling2D', 'X_test', 'width', 'l1_mp', 'temp_out', 'model', 'l0', 'l2_mp', 'score', 'n_epoch', 'flat'}, {'pl', 'ax'}]",18.5,2957,Q4
